event,event_description,property,type,required,example,property_description
create_plan_clicked,CTA pressed to generate plan,gut_training_level,string,no,high,low | medium | high
create_plan_clicked,CTA pressed to generate plan,sweat_rate_level,string,no,medium,light | medium | heavy (or numeric if available)
create_plan_clicked,CTA pressed to generate plan,temperature_c,number,no,20,Ambient temperature °C
create_plan_clicked,CTA pressed to generate plan,humidity_pct,number,no,60,Ambient humidity %
create_plan_clicked,CTA pressed to generate plan,run_with_bottle,boolean,no,True,User preference to carry bottle
create_plan_clicked,CTA pressed to generate plan,carbs_pre_g,number,no,95,Target carbohydrates before run (g)
create_plan_clicked,CTA pressed to generate plan,carbs_during_g,number,no,63,Target carbohydrates during run (g)
create_plan_clicked,CTA pressed to generate plan,carbs_post_g,number,no,48,Target carbohydrates post run (g)
create_plan_clicked,CTA pressed to generate plan,protein_pre_g,number,no,12,Target protein before run (g)
create_plan_clicked,CTA pressed to generate plan,protein_post_g,number,no,14,Target protein post run (g)
create_plan_clicked,CTA pressed to generate plan,fluids_pre_ml,number,no,441,Target fluids pre-run (ml)
create_plan_clicked,CTA pressed to generate plan,fluids_during_ml,number,no,1080,Target fluids during (ml)
create_plan_clicked,CTA pressed to generate plan,fluids_post_ml,number,no,1250,Target fluids post (ml)
create_plan_clicked,CTA pressed to generate plan,sodium_pre_mg,number,no,450,Target sodium pre-run (mg)
create_plan_clicked,CTA pressed to generate plan,sodium_during_mg,number,no,1170,Target sodium during (mg)
create_plan_clicked,CTA pressed to generate plan,sodium_post_mg,number,no,625,Target sodium post (mg)
plan_generated,Plan generated successfully,screen,string,no,plan_screen,App screen where event occurred
plan_generated,Plan generated successfully,plan_id,string,no,cf356963-ba2e-4d0b-a5e3-b9591855995d,UUID for the plan object; persists across the full flow
plan_generated,Plan generated successfully,experiment_variant,string,no,auto_items_v1,A/B test or feature flag variant active at time of event
plan_generated,Plan generated successfully,activity_type,string,no,run,"Type of activity being planned (run, ride, swim)"
plan_generated,Plan generated successfully,distance_mi,number,no,12.0,Planned distance (miles)
plan_generated,Plan generated successfully,duration_min,number,no,108,Planned duration (minutes)
plan_generated,Plan generated successfully,pace_sec_per_mile,number,no,540,Planned pace (sec/mi)
plan_generated,Plan generated successfully,time_before_run_min,number,no,120,Time between meal and start
plan_generated,Plan generated successfully,gut_training_level,string,no,high,low | medium | high
plan_generated,Plan generated successfully,sweat_rate_level,string,no,medium,light | medium | heavy (or numeric if available)
plan_generated,Plan generated successfully,temperature_c,number,no,20,Ambient temperature °C
plan_generated,Plan generated successfully,humidity_pct,number,no,60,Ambient humidity %
plan_generated,Plan generated successfully,run_with_bottle,boolean,no,True,User preference to carry bottle
plan_generated,Plan generated successfully,carbs_pre_g,number,no,95,Target carbohydrates before run (g)
plan_generated,Plan generated successfully,carbs_during_g,number,no,63,Target carbohydrates during run (g)
plan_generated,Plan generated successfully,carbs_post_g,number,no,48,Target carbohydrates post run (g)
plan_generated,Plan generated successfully,protein_pre_g,number,no,12,Target protein before run (g)
plan_generated,Plan generated successfully,protein_post_g,number,no,14,Target protein post run (g)
plan_generated,Plan generated successfully,fluids_pre_ml,number,no,441,Target fluids pre-run (ml)
plan_generated,Plan generated successfully,fluids_during_ml,number,no,1080,Target fluids during (ml)
plan_generated,Plan generated successfully,fluids_post_ml,number,no,1250,Target fluids post (ml)
plan_generated,Plan generated successfully,sodium_pre_mg,number,no,450,Target sodium pre-run (mg)
plan_generated,Plan generated successfully,sodium_during_mg,number,no,1170,Target sodium during (mg)
plan_generated,Plan generated successfully,sodium_post_mg,number,no,625,Target sodium post (mg)
plan_generated,Plan generated successfully,items_pre_count,number,no,3,Number of items in pre-run section
plan_generated,Plan generated successfully,items_during_count,number,no,1,Number of items in during-run section
plan_generated,Plan generated successfully,items_post_count,number,no,3,Number of items in post-run section
plan_generated,Plan generated successfully,carbs_total_g,number,no,205,Total carbs across plan at save (g)
plan_generated,Plan generated successfully,sodium_total_mg,number,no,962,Total sodium across plan at save (mg)
plan_generated,Plan generated successfully,fluids_total_ml,number,no,3000,Total fluids across plan at save (ml)
plan_generated,Plan generated successfully,carbs_coverage_pct,number,no,99.5,Total carbs / target carbs * 100
plan_generated,Plan generated successfully,sodium_coverage_pct,number,no,43.0,Total sodium / target sodium * 100
plan_generated,Plan generated successfully,fluids_coverage_pct,number,no,300.0,Total fluids / target fluids * 100
plan_viewed,Plan screen viewed,screen,string,no,plan_screen,App screen where event occurred
plan_viewed,Plan screen viewed,plan_id,string,no,cf356963-ba2e-4d0b-a5e3-b9591855995d,UUID for the plan object; persists across the full flow
plan_viewed,Plan screen viewed,experiment_variant,string,no,auto_items_v1,A/B test or feature flag variant active at time of event
plan_viewed,Plan screen viewed,section,string,no,during,
item_added,Food item added to a section,screen,string,no,plan_screen,App screen where event occurred
item_added,Food item added to a section,plan_id,string,no,cf356963-ba2e-4d0b-a5e3-b9591855995d,UUID for the plan object; persists across the full flow
item_added,Food item added to a section,experiment_variant,string,no,auto_items_v1,A/B test or feature flag variant active at time of event
item_added,Food item added to a section,section,string,no,pre,
item_added,Food item added to a section,item_name,string,no,cooked oatmeal,
item_added,Food item added to a section,item_source,string,no,generic,
item_added,Food item added to a section,carbs_g,number,no,54,
item_added,Food item added to a section,protein_g,number,no,6,
item_added,Food item added to a section,fluids_ml,number,no,0,
item_added,Food item added to a section,sodium_mg,number,no,5,
item_removed,Food item removed from a section,screen,string,no,plan_screen,App screen where event occurred
item_removed,Food item removed from a section,plan_id,string,no,cf356963-ba2e-4d0b-a5e3-b9591855995d,UUID for the plan object; persists across the full flow
item_removed,Food item removed from a section,experiment_variant,string,no,auto_items_v1,A/B test or feature flag variant active at time of event
item_removed,Food item removed from a section,section,string,no,post,
item_removed,Food item removed from a section,item_name,string,no,coconut water,
item_quantity_changed,Quantity changed for an item,screen,string,no,plan_screen,App screen where event occurred
item_quantity_changed,Quantity changed for an item,plan_id,string,no,cf356963-ba2e-4d0b-a5e3-b9591855995d,UUID for the plan object; persists across the full flow
item_quantity_changed,Quantity changed for an item,experiment_variant,string,no,auto_items_v1,A/B test or feature flag variant active at time of event
item_quantity_changed,Quantity changed for an item,section,string,no,during,
item_quantity_changed,Quantity changed for an item,item_name,string,no,sports drink,
item_quantity_changed,Quantity changed for an item,old_qty,number,no,24,
item_quantity_changed,Quantity changed for an item,new_qty,number,no,36,
item_quantity_changed,Quantity changed for an item,qty_unit,string,no,oz,
guidelines_opened,Nutrition guidelines bottom sheet opened,screen,string,no,plan_screen,App screen where event occurred
guidelines_opened,Nutrition guidelines bottom sheet opened,plan_id,string,no,cf356963-ba2e-4d0b-a5e3-b9591855995d,UUID for the plan object; persists across the full flow
guidelines_opened,Nutrition guidelines bottom sheet opened,experiment_variant,string,no,auto_items_v1,A/B test or feature flag variant active at time of event
guidelines_opened,Nutrition guidelines bottom sheet opened,topic,string,no,sodium,
plan_saved,User tapped Save on plan,screen,string,no,plan_screen,App screen where event occurred
plan_saved,User tapped Save on plan,plan_id,string,no,cf356963-ba2e-4d0b-a5e3-b9591855995d,UUID for the plan object; persists across the full flow
plan_saved,User tapped Save on plan,experiment_variant,string,no,auto_items_v1,A/B test or feature flag variant active at time of event
plan_saved,User tapped Save on plan,items_pre_count,number,no,3,Number of items in pre-run section
plan_saved,User tapped Save on plan,items_during_count,number,no,1,Number of items in during-run section
plan_saved,User tapped Save on plan,items_post_count,number,no,3,Number of items in post-run section
plan_saved,User tapped Save on plan,carbs_total_g,number,no,205,Total carbs across plan at save (g)
plan_saved,User tapped Save on plan,sodium_total_mg,number,no,962,Total sodium across plan at save (mg)
plan_saved,User tapped Save on plan,fluids_total_ml,number,no,3000,Total fluids across plan at save (ml)
plan_saved,User tapped Save on plan,carbs_coverage_pct,number,no,99.5,Total carbs / target carbs * 100
plan_saved,User tapped Save on plan,sodium_coverage_pct,number,no,43.0,Total sodium / target sodium * 100
plan_saved,User tapped Save on plan,fluids_coverage_pct,number,no,300.0,Total fluids / target fluids * 100
plan_saved,User tapped Save on plan,seconds_to_save,number,no,75,Time from plan_flow_started to save
feedback_prompt_shown,Feedback sheet shown,screen,string,no,plan_screen,App screen where event occurred
feedback_prompt_shown,Feedback sheet shown,plan_id,string,no,cf356963-ba2e-4d0b-a5e3-b9591855995d,UUID for the plan object; persists across the full flow
feedback_prompt_shown,Feedback sheet shown,experiment_variant,string,no,auto_items_v1,A/B test or feature flag variant active at time of event
feedback_submitted,Feedback submitted,screen,string,no,plan_screen,App screen where event occurred
feedback_submitted,Feedback submitted,plan_id,string,no,cf356963-ba2e-4d0b-a5e3-b9591855995d,UUID for the plan object; persists across the full flow
feedback_submitted,Feedback submitted,experiment_variant,string,no,auto_items_v1,A/B test or feature flag variant active at time of event
feedback_submitted,Feedback submitted,plan_match_rating,number,no,4,1–5 scale
feedback_submitted,Feedback submitted,app_intent,string,no,remind_me,Choice from: like_it | has_potential | not_interested | remind_me
reminder_set,User asked for reminder to use plan,screen,string,no,plan_screen,App screen where event occurred
reminder_set,User asked for reminder to use plan,plan_id,string,no,cf356963-ba2e-4d0b-a5e3-b9591855995d,UUID for the plan object; persists across the full flow
reminder_set,User asked for reminder to use plan,experiment_variant,string,no,auto_items_v1,A/B test or feature flag variant active at time of event
reminder_set,User asked for reminder to use plan,remind_at_iso,string,no,2025-09-06T06:00:00-05:00,
reminder_fired,Local push reminder fired,screen,string,no,plan_screen,App screen where event occurred
reminder_fired,Local push reminder fired,plan_id,string,no,cf356963-ba2e-4d0b-a5e3-b9591855995d,UUID for the plan object; persists across the full flow
reminder_fired,Local push reminder fired,experiment_variant,string,no,auto_items_v1,A/B test or feature flag variant active at time of event
plan_opened_from_reminder,User opened plan from reminder push,screen,string,no,plan_screen,App screen where event occurred
plan_opened_from_reminder,User opened plan from reminder push,plan_id,string,no,cf356963-ba2e-4d0b-a5e3-b9591855995d,UUID for the plan object; persists across the full flow
plan_opened_from_reminder,User opened plan from reminder push,experiment_variant,string,no,auto_items_v1,A/B test or feature flag variant active at time of event
plan_exported,Plan exported or shared,screen,string,no,plan_screen,App screen where event occurred
plan_exported,Plan exported or shared,plan_id,string,no,cf356963-ba2e-4d0b-a5e3-b9591855995d,UUID for the plan object; persists across the full flow
plan_exported,Plan exported or shared,experiment_variant,string,no,auto_items_v1,A/B test or feature flag variant active at time of event
plan_exported,Plan exported or shared,channel,string,no,share_sheet,
plan_exported,Plan exported or shared,format,string,no,pdf,
error_shown,An error was shown to the user,screen,string,no,plan_screen,
error_shown,An error was shown to the user,error_code,string,no,NETWORK_TIMEOUT,
error_shown,An error was shown to the user,message,string,no,Failed to generate plan,
